Date,AVG,MAX,MIN,Total,High_temp,Avg_temp
01.01.2013,1.598523792,1.859947,0.001598524,38.36803107,0,-1.68
02.01.2013,1.809347042,2.054215,0.001809347,43.42819437,-3.9,-6.58
03.01.2013,1.832821792,2.04955,0.001832822,43.9916072,0.6,-6.12
04.01.2013,1.812699417,2.008168,0.001812699,43.50860868,0,-1.95
05.01.2013,1.66203575,1.838251,0.001662036,39.89235995,1.7,-1.47
06.01.2013,1.585138792,1.815048,0.001585139,38.04673277,2.8,1.4
07.01.2013,1.760538542,1.994227,0.001760539,42.25668153,0.6,-1.11
08.01.2013,1.752972875,1.92931,0.001752973,42.07503304,6.1,-1.8
09.01.2013,1.743400417,1.922961,0.0017434,41.8452781,8.3,3.52
10.01.2013,1.713696583,1.878641,0.001713697,41.13231205,3.3,1.22
11.01.2013,1.645142292,1.812621,0.001645142,39.48687441,12.2,7.25
12.01.2013,1.426865167,1.588009,0.001426865,34.2477803,16.1,12.08
13.01.2013,1.345794083,1.554963,0.001345794,32.3019601,18.9,15.88
14.01.2013,1.522801333,1.773922,0.001522801,36.55053025,14.4,3.25
15.01.2013,1.676253417,1.882837,0.001676253,40.23364277,0,-1.67
16.01.2013,1.713846625,1.915235,0.001713847,41.1359498,0.6,-0.23
17.01.2013,1.712918333,1.906213,0.001712918,41.11366084,1.1,-0.13
18.01.2013,1.734177167,1.895802,0.001734177,41.62388371,0,-3.39
19.01.2013,1.532908125,1.647609,0.001532908,36.79297705,10.6,5.93
20.01.2013,1.518798542,1.79295,0.001518799,36.45447827,7.8,1.37
21.01.2013,1.844365917,2.108511,0.001844366,44.26873672,-4.4,-6.55
22.01.2013,1.997969667,2.240713,0.00199797,47.95551268,-11.1,-13.12
23.01.2013,2.013010083,2.203967,0.00201301,48.31646099,-9.4,-12.17
24.01.2013,1.980220292,2.151226,0.00198022,47.52942043,-6.1,-9.4
25.01.2013,1.950655708,2.125144,0.001950656,46.81981475,-8.3,-9.86
26.01.2013,1.748764667,1.901643,0.001748765,41.97400416,-3.3,-5.67
27.01.2013,1.679729833,1.844556,0.00167973,40.31704197,-1.7,-5.91
28.01.2013,1.7605425,1.907827,0.001760543,42.25669013,9.4,4.28
29.01.2013,1.671060583,1.848844,0.001671061,40.10897558,17.8,12.65
30.01.2013,1.629282292,1.841709,0.001629282,39.10624762,20,13.99
31.01.2013,1.799278,2.047172,0.001799278,43.18652025,10,-2.18
01.02.2013,1.903834792,2.071084,0.001903835,45.69601182,-5.6,-9.28
02.02.2013,1.794409083,1.928385,0.001794409,43.06954259,-5,-8.95
03.02.2013,1.728267583,1.950161,0.001728268,41.48210216,-5,-5.78
04.02.2013,1.877906792,2.068568,0.001877907,45.07371135,-3.9,-6.18
05.02.2013,1.824155,2.014578,0.001824155,43.78356056,-0.6,-2.64
06.02.2013,1.810344667,1.963531,0.001810345,43.45204769,-0.6,-2.65
07.02.2013,1.819966125,1.966924,0.001819966,43.68297571,4.4,-1.46
08.02.2013,1.78255575,1.968056,0.001782556,42.78509039,3.3,0.1
09.02.2013,1.656844625,1.78527,0.001656845,39.76771477,0.6,-3.28
10.02.2013,1.584823125,1.733492,0.001584823,38.0390749,8.3,0.41
11.02.2013,1.602539542,1.750846,0.00160254,38.46430399,14.4,7.38
12.02.2013,1.676291708,1.864914,0.001676292,40.23454388,5,1.7
13.02.2013,1.730861958,1.918012,0.001730862,41.5443376,2.2,-1.3
14.02.2013,1.726887667,1.882994,0.001726888,41.44891561,5.6,1.02
15.02.2013,1.678391292,1.828006,0.001678391,40.28489908,3.9,1.33
16.02.2013,1.636175333,1.811234,0.001636175,39.27165705,-2.2,-3.99
17.02.2013,1.702349375,1.922615,0.001702349,40.86001167,-5.6,-7.58
18.02.2013,1.832600917,1.993205,0.001832601,43.98624964,5.6,-3.86
19.02.2013,1.769101583,2.01266,0.001769102,42.46222153,7.2,2.11
20.02.2013,1.916755,2.127313,0.001916755,46.00616598,-5,-7.04
21.02.2013,1.88880875,2.041355,0.001888809,45.33534205,-5,-6.4
22.02.2013,1.8320365,2.001505,0.001832037,43.97271137,1.7,-1.53
23.02.2013,1.595148458,1.707901,0.001595148,38.28686764,5.6,2.2
24.02.2013,1.6187255,1.791026,0.001618725,38.85282337,-0.6,-1.63
25.02.2013,1.726159542,1.908397,0.00172616,41.43146528,6.1,0.88
26.02.2013,1.763283417,1.984415,0.001763283,42.32255146,5,2.26
27.02.2013,1.727140333,1.915451,0.00172714,41.45501232,6.7,4.42
28.02.2013,1.773229375,1.953337,0.001773229,42.56123334,2.2,1.33
01.03.2013,1.773363833,1.929868,0.001773364,42.56443701,0.6,-0.8
02.03.2013,1.662109625,1.835489,0.00166211,39.89413026,-1.1,-2.48
03.03.2013,1.631433167,1.829005,0.001631433,39.15785807,-2.2,-3.17
04.03.2013,1.792643458,1.965455,0.001792643,43.02720289,3.3,-1.71
05.03.2013,1.769367292,1.904992,0.001769367,42.46849113,6.7,0.42
06.03.2013,1.732323333,1.885094,0.001732323,41.57937915,5,2.81
07.03.2013,1.739315167,1.914154,0.001739315,41.74721921,4.4,1.91
08.03.2013,1.73311375,1.914135,0.001733114,41.59837898,2.8,0.5
09.03.2013,1.536201167,1.621276,0.001536201,36.87198701,12.2,3.52
10.03.2013,1.414552391,1.544394,0.001414552,32.53766536,21.1,12.91
11.03.2013,1.557460292,1.706584,0.00155746,37.3823126,17.2,13.6
12.03.2013,1.63425525,1.837936,0.001634255,39.22559983,8.3,4.07
13.03.2013,1.70765075,1.877535,0.001707651,40.98720489,1.7,0.12
14.03.2013,1.743734042,1.892626,0.001743734,41.8532551,3.9,-0.78
15.03.2013,1.659768542,1.828574,0.001659769,39.837935,10,3.47
16.03.2013,1.497805292,1.616299,0.001497805,35.9504426,4.4,2.25
17.03.2013,1.476655917,1.633141,0.001476656,35.44285327,2.2,-0.19
18.03.2013,1.710539625,1.908782,0.00171054,41.05657203,4.4,1.41
19.03.2013,1.705678583,1.892355,0.001705679,40.93988574,6.1,2.95
20.03.2013,1.763506,1.892007,0.001763506,42.32780128,3.3,-0.61
21.03.2013,1.810469333,1.949053,0.001810469,43.45502533,-2.2,-4.59
22.03.2013,1.75760375,1.917796,0.001757604,42.18616716,1.1,-1.76
23.03.2013,1.557227,1.650696,0.001557227,37.37665748,7.2,0.54
24.03.2013,1.535725542,1.706542,0.001535726,36.8606568,6.1,0.89
25.03.2013,1.687049208,1.846418,0.001687049,40.49271615,2.2,0.84
26.03.2013,1.681403958,1.817308,0.001681404,40.35719539,5,1.9
27.03.2013,1.689989042,1.824413,0.001689989,40.56325309,6.1,2.63
28.03.2013,1.676224167,1.825909,0.001676224,40.23288381,5.6,3.64
29.03.2013,1.564329958,1.683251,0.00156433,37.54716815,11.1,5.98
30.03.2013,1.478898458,1.571659,0.001478898,35.49661504,12.2,5.41
31.03.2013,1.426867833,1.572205,0.001426868,34.2478285,9.4,7.76
01.04.2013,1.6149875,1.777527,0.001614988,38.76309413,8.3,4.86
02.04.2013,1.680370542,1.824273,0.001680371,40.33239932,3.9,-0.05
03.04.2013,1.696336417,1.834897,0.001696336,40.71560693,3.9,0.14
04.04.2013,1.68427,1.877622,0.00168427,40.42604358,11.7,2.79
05.04.2013,1.582614917,1.736075,0.001582615,37.98607827,12.2,6.43
06.04.2013,1.448256792,1.559434,0.001448257,34.76117214,13.9,5.23
07.04.2013,1.358975458,1.516279,0.001358975,32.61828761,22.2,16.53
08.04.2013,1.508804375,1.678841,0.001508804,36.21449415,23.3,16.75
09.04.2013,1.57214125,1.764413,0.001572141,37.73472813,26.7,20.65
10.04.2013,1.641799292,1.890688,0.001641799,39.40671713,26.7,21.37
11.04.2013,1.586391083,1.786797,0.001586391,38.07676077,22.8,17.76
12.04.2013,1.532264958,1.745968,0.001532265,36.77763877,16.7,13.09
13.04.2013,1.375503667,1.499553,0.001375504,33.01496443,10.6,7.13
